TIPO DE AVISO;Estado;Prioridad;Incidente;Estructura;Creacion;Inicio;Cierre
;INIC;Semana;1874058;;2003-11-16 00:00:00;2003-12-04 00:00:00;2003-12-12 00:00:00
;INIC;Semana;1873931;19875970;2003-11-20 00:00:00;2003-11-26 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1873927;;2003-07-28 00:00:00;2003-11-20 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1873926;;2003-07-28 00:00:00;2003-11-20 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1873925;;2003-07-28 00:00:00;2003-11-20 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1873924;;2003-07-28 00:00:00;2003-11-20 00:00:00;2004-07-25 00:00:00
;INIC;Mes;1873754;19893162;2003-11-22 00:00:00;2003-11-22 00:00:00;2004-09-11 00:00:00
;INIC;Mes;1873719;19876648;2003-11-26 00:00:00;2003-11-29 00:00:00;2003-12-06 00:00:00
;PROY;Semestre;1873712;19798722;2003-11-26 00:00:00;2005-02-10 00:00:00;2005-02-10 00:00:00
;PROY;Semestre;1873699;19798723;2003-11-26 00:00:00;2004-08-11 00:00:00;2004-08-11 00:00:00
;PROY;Mes;1873670;19875970;2003-11-26 00:00:00;2003-11-26 00:00:00;2004-07-25 00:00:00
;INIC;Mes;1873668;19876064;2003-11-26 00:00:00;2003-11-26 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1873663;19876064;2003-11-26 00:00:00;2003-11-26 00:00:00;2004-07-25 00:00:00
;PROY;Semestre;1873661;19798728;2003-11-26 00:00:00;2004-04-09 00:00:00;2010-06-06 00:00:00
;INIC;Mes;1873660;19875964;2003-11-26 00:00:00;2003-11-26 00:00:00;2004-07-25 00:00:00
;INIC;Mes;1873659;19875960;2003-11-26 00:00:00;2003-11-26 00:00:00;2004-07-25 00:00:00
;INIC;Semana;1873589;19875890;2003-11-29 00:00:00;2003-12-11 00:00:00;2004-07-27 00:00:00
;PROY;Mes;1873501;19881164;2003-12-02 00:00:00;2004-04-18 00:00:00;2004-08-13 00:00:00
;PROY;Mes;1873465;19868413;2003-12-03 00:00:00;2003-12-03 00:00:00;2005-04-19 00:00:00
;INIC;Very high;1862729;19866181;2004-04-03 00:00:00;2004-04-03 00:00:00;2004-12-18 00:00:00
;PROY;Semestre;1873049;19884658;2003-12-11 00:00:00;2004-03-10 00:00:00;2004-09-17 00:00:00
;PROY;Semestre;1873049;19884658;2003-12-11 00:00:00;2004-02-08 00:00:00;2004-09-17 00:00:00
;PROY;Semestre;1873049;19884658;2003-12-11 00:00:00;2004-03-10 00:00:00;2004-09-17 00:00:00
;INIC;Semana;1873048;19872845;2003-12-11 00:00:00;2003-12-11 00:00:00;2003-12-11 00:00:00
;INIC;Mes;1872855;19885536;2003-12-12 00:00:00;2003-12-12 00:00:00;2010-06-09 00:00:00
;COPE;Año;1872625;;2003-12-13 00:00:00;2009-05-07 00:00:00;2009-05-07 00:00:00
;INIC;Semana;1871382;19885489;2003-12-21 00:00:00;2003-12-26 00:00:00;2003-12-28 00:00:00
;PROY;Mes;1871299;19892988;2003-12-25 00:00:00;2004-02-08 00:00:00;2004-07-25 00:00:00
;PROY;Mes;1871298;19892987;2003-12-25 00:00:00;2004-02-08 00:00:00;2004-07-25 00:00:00
;INIC;Semestre;1871293;;2003-12-25 00:00:00;2004-10-01 00:00:00;2005-06-05 00:00:00
;INIC;Semana;1870865;19885489;2003-12-28 00:00:00;2004-01-02 00:00:00;2004-07-25 00:00:00
;INIC;Semana;1870865;19885489;2003-12-28 00:00:00;2004-01-02 00:00:00;2004-07-25 00:00:00
;CPRO;Año;1870849;19796709;2003-12-28 00:00:00;2005-02-10 00:00:00;2005-02-10 00:00:00
;CPRO;Semestre;1870722;19799079;2003-12-29 00:00:00;2003-12-29 00:00:00;2005-12-11 00:00:00
;CPRO;Semestre;1870721;19799037;2002-07-06 00:00:00;2003-12-29 00:00:00;2004-09-11 00:00:00
;CPRO;Semestre;1870720;19799037;2002-07-06 00:00:00;2003-12-29 00:00:00;2004-09-11 00:00:00
;CPRO;Mes;1870719;19799022;2002-07-06 00:00:00;2003-12-29 00:00:00;2010-06-09 00:00:00
;CPRO;Mes;1870718;19798976;2003-02-18 00:00:00;2003-12-29 00:00:00;2005-04-02 00:00:00
;CPRO;Año;1870717;19798836;2002-05-22 00:00:00;2003-12-29 00:00:00;2010-06-09 00:00:00
